FTP, 20, 21
SSH, 22
Telnet, 23
SMTP, 25
DNS, 53
HTTP, 80
Siemens, 102
POP3, 109, 110
ONCRPC, 111
SFTP, 115
NTP, 123
Netbios, 137
SNMP, 161
SNMPTrap, 162
BGP, 179
IMAP, 220
LDAP, 389
HTTPS, 443
Modbus, 502
RPC, 530
